tag,command,parameters,notes
--command--,,,"Internal Commands"
removed,command,"playlist clear","stop playing and clear playlist"
button1,command,"playlist index +1",what to do when button pressed
stop,command,"playlist clear",stop playing and clear playlist
skip,command,"playlist index +1",skip to next item on playlist
replay,command,"playlist index -1",skip to previous item on playlist
--decade--,,,"Decade Playlists (shuffle)"
01-01-00-00,playlist_shuffle,"Holiday Mix",
02-02-00-00,playlist_shuffle,"Fantasy Mix",
03-03-00-00,playlist_shuffle,"Billboard Top 100",
04-04-00-00,playlist_shuffle,"Ghost in the Shell",
05-05-00-00,playlist_shuffle,"Video Game Mix",
--album--,,,"Albums (played in-order)"
04-9d-64-6c-bb-2a-81,album,"Compilations/Billboard Top 100 of 1967 (1967)",
8d-5e-33-b9,album,"Compilations/Billboard Top 100 of 1999 (1999)",
fc-b2-50-23,album,"Compilations/Billboard Top 100 of 1984 (1984)",
04-ba-ec-56-bf-2a-81,album,"Compilations/Billboard Top 100 of 2001 (2001)",
04-E3-D1-6C-21-02-89,album,"Compilations/Like, Omigod! The '80s Pop Culture Box (Totally) (2002)",
25-6d-6d-df,album,"Daft Punk/Random Access Memories (2013)",
04-07-bc-f2-b4-76-81,album,"Yazoo/Upstairs at Eric's (1982)",
04-fd-77-ed-78-00-00,album,"Elton John/Goodbye Yellow Brick Road (1973)",
0a-ef-db-d3,album,"DEVO/Total Devo (1988)",
2a-b5-e8-d4,album,"DEVO/Now It Can Be Told_ Devo at the Palace 12_9_88 (1989)",
b5-b3-6d-df,album,"Marilyn Manson/Mechanical Animals (1998)",
a5-ec-20-df,album,"Kid Rock/Devil Without a Cause (1998)",
05-51-84-df,album,"Michael Jackson/Thriller (1982)",
--artist--,,,"Artist (shuffle)"
04-43-D4-3A-21-02-89,artist,34545,"DEVO"
04-B3-D7-73-21-02-89,artist,"33685","Daft Punk"
